Bambusz golyóstoll;7
Benzines öngyújtó;6
Bohóc álarc;1
Bögre;4
Csokimikulás;4
Duracell AA elem;10
Esküvői ültetőkártya;3
Fa bortarttó;2
Fa karácsonyfadísz;3
Fanyelű sörnyitó;5
Felfújható gitár;3
Fém iránytű;3
Fém laposüveg;4
Fém szívószál készlet;5
Gombász kés;4
Hátizsák;5
Karabiner kulcstartó;2
Kávé díszítő sablonok;2
Kétütemű motoros villanytargonca;2
Latte kanál;3
Led lámpa;9
Natúr fa doboz peremes;1
Orvosi szájmaszk;2
Örökrózya búrában;6
Pálinkát hoztál lábtörlő;7
Papírtányér;1
Partiarc Szemcsi;1
Plexi karácsonyfadísz;3
Pöttyös rózsaszín papírszalvéta;6
Pult csengő;3
Sátor;4
Söröskorsó lufi;7
Svájci bicska;3
Szám csillagszóró;5
Tejhabverő;6
Tricigli;9
Túrapalack;5
Vágódeszka;2
Varrógép;3
Világító színes lufi;2
Zseblámpa;7
